original_folder_name,cleaned_folder_name,original_file_name,cleaned_file_name,slug,alt_text,download_link
Celebrity_Photos,Celebrity_Photos,alana_ubach.jpg,alana_ubach.jpg,alana-ubach,Alana Ubach,https://hbapi.leeseaver.com/processed/Celebrity_Photos/alana_ubach.jpg
Celebrity_Photos,Celebrity_Photos,Anthony_Quinn_and_Francesco_Quinn.jpg,Anthony_Quinn_and_Francesco_Quinn.jpg,anthony-quinn-and-francesco-quinn,Anthony Quinn And Francesco Quinn,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Anthony_Quinn_and_Francesco_Quinn.jpg
Celebrity_Photos,Celebrity_Photos,Antonio_Bandera_V2_web.jpg,Antonio_Bandera_V2_web.jpg,antonio-bandera-v2-web,Antonio Bandera V2 Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Antonio_Bandera_V2_web.jpg
Celebrity_Photos,Celebrity_Photos,BRESHA_.jpg,BRESHA_.jpg,bresha-,Bresha ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/BRESHA_.jpg
Celebrity_Photos,Celebrity_Photos,Burt_Reynolds.jpg,Burt_Reynolds.jpg,burt-reynolds,Burt Reynolds,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Burt_Reynolds.jpg
Celebrity_Photos,Celebrity_Photos,Burt_Reynolds_03.jpg,Burt_Reynolds_03.jpg,burt-reynolds-03,Burt Reynolds 03,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Burt_Reynolds_03.jpg
Celebrity_Photos,Celebrity_Photos,Burt_reynolds_1.jpg,Burt_reynolds_1.jpg,burt-reynolds-1,Burt Reynolds 1,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Burt_reynolds_1.jpg
Celebrity_Photos,Celebrity_Photos,Caprice.jpg,Caprice.jpg,caprice,Caprice,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Caprice.jpg
Celebrity_Photos,Celebrity_Photos,CATHERINE_OXENBERG_&_HUSBAND_v2.jpg,CATHERINE_OXENBERG_&_HUSBAND_v2.jpg,catherine-oxenberg--husband-v2,Catherine Oxenberg & Husband V2,https://hbapi.leeseaver.com/processed/Celebrity_Photos/CATHERINE_OXENBERG_&_HUSBAND_v2.jpg
Celebrity_Photos,Celebrity_Photos,charlie_rocket_2_b.jpg,charlie_rocket_2_b.jpg,charlie-rocket-2-b,Charlie Rocket 2 B,https://hbapi.leeseaver.com/processed/Celebrity_Photos/charlie_rocket_2_b.jpg
